tconst	directors	writers
tt9865196	nm7441849	nm7441849,nm10403229
tt9865198	nm4100752	nm8753258
tt9865200	\N	\N
tt9865202	\N	nm0138440
tt9865204	nm3856217	nm1049081,nm1187873,nm11541324,nm1687484,nm1729412,nm2204042,nm2845407,nm3290452,nm4380835,nm7311398,nm8520520
tt9865206	\N	\N
tt9865208	nm0939869	nm1031745,nm0083349,nm0484901,nm4707895
tt9865210	nm0620132	\N
tt9865212	nm7441849	nm7441849
tt9865216	nm0644861	nm2343594,nm1284854,nm2018693,nm6542888
tt9865218	nm0617762	nm1740769
tt9865220	nm0939869	nm1031745,nm0083349,nm0484901,nm1341252
tt9865222	nm5683691	nm5683691
tt9865224	nm7441849	nm7441849
tt9865226	nm7604311	nm7604311
tt9865228	nm10338885	nm10435335,nm10495628
tt9865230	\N	nm2413098
tt9865232	\N	\N
tt9865234	\N	\N
tt9865236	\N	\N
tt9865238	\N	\N
tt9865242	\N	\N
tt9865244	\N	\N
tt9865246	\N	\N
tt9865248	\N	\N
tt9865250	\N	\N
tt9865252	nm0617762	nm1740769
tt9865254	nm3622659	nm4611331,nm0551923,nm6801517,nm5150134,nm9663604,nm6442436
tt9865256	nm3622659	nm4611331,nm0551923,nm6801517,nm5150134,nm9663604,nm6442436
tt9865258	nm2440581	nm3355108,nm4611331,nm0551923,nm6801517,nm5150134,nm9663604,nm6442436
tt9865260	nm3622659	nm4207525,nm4611331,nm0551923,nm6801517,nm5150134,nm9663604,nm6442436
tt9865262	nm3069582	nm5150134,nm4611331,nm0551923,nm6801517,nm9663604,nm6442436
tt9865264	nm0579318	nm9663604,nm4611331,nm0551923,nm6801517,nm5150134,nm6442436
tt9865266	nm0579318	nm6442436,nm6801517,nm4611331,nm0551923,nm5150134,nm9663604
tt9865268	nm1260607	nm4611331,nm0551923,nm6801517,nm5150134,nm9663604,nm6442436
tt9865270	nm1487468	nm3355108,nm4611331,nm0551923,nm6801517,nm5150134,nm9663604,nm6442436
tt9865272	nm1487468	nm3622659,nm9720456,nm4611331,nm0551923,nm6801517,nm5150134,nm9663604,nm6442436
tt9865274	nm6830163	\N
tt9865276	\N	\N
tt9865278	\N	\N
tt9865282	nm9880443	nm11364611,nm9880443
tt9865284	nm9264299	nm9264321
tt9865288	nm0864268	nm0714246
tt9865290	nm1334993	nm1334993
tt9865292	\N	\N
tt9865294	\N	\N
tt9865296	\N	\N
tt9865298	nm0217938	nm1031745,nm1094792,nm4707895,nm0603867,nm1341252,nm0083349,nm0484901
tt9865300	nm3091236	nm3091236
tt9865302	\N	\N
tt9865304	nm6433122	nm6433122
tt9865306	\N	\N
tt9865308	nm0847109	nm0999005
tt9865310	nm4774474,nm14689700	nm9894796
tt9865312	nm1509733	\N
tt9865314	\N	\N
tt9865320	nm0217938	nm0603867,nm1031745,nm1341252,nm0083349,nm0484901
tt9865322	\N	\N
tt9865324	nm0462051	\N
tt9865328	nm2645598	nm2645598
tt9865330	\N	\N
tt9865332	\N	\N
tt9865334	nm6433122	nm6433122
tt9865338	nm4909815	nm4679138,nm7165367,nm4909521,nm3708517,nm3097515,nm7720901
tt9865340	\N	\N
tt9865342	\N	nm4770479,nm2763839
tt9865346	nm0913835	\N
